﻿id,Tweet,Dialect
53,"""قرر اللواء محمد عبد الوهاب السكرتير العام المساعد لمحافظه الاسكندريه اليوم غلق المطعم السوري الذي اشتكت سيده سكن""",Egyptian
54,"""يا عم هو في حاجه بتستخبي شويه و هتتشهر""",Egyptian
55,"""من كتر هبلنا كل الصور مسخره يمكن دول مظبوطين شويه اكتر حد دايما معايا وواقف جمبي مجرد ما تحس اني زعلانه تقولي يلا""",Egyptian
56,"""الناس دي يتداس عليها يا جماعه خلص الكلام""",Egyptian
57,"""هو فان جوخ ده مالوش حد يسال عليه""",Egyptian
58,"""ازاي صورها دهحد يقولي انه اتفرم بالاسنان دي""",Egyptian
59,"""المشكله مكنتش ف النتيجه ولا حتي كانا ف الصدمه المشكله كانت ف اختياراتنا من الاول كانت كلها غلط احنا اللي اتعشمن""",Egyptian
60,"""لا مش ف نفس اللحظه قصدي بعد فتره كبيره جدا""",Egyptian
61,"""يا رب ارزقنا بالناس الي عندهم ذكاء اجتماعي ونضوج فكري وابعدنا عن الناس الاغبيه اجتماعيا يا رب علشان انا مبقتش مستحمل""",Egyptian
62,"""كسم معامله ابويا ليا علي كسم طريقه كلامه و تفكيره الوسخ و حقيقي ده اكتر انسان في الدنيا مسببلي معظم مشاكل حياتي و م""",Egyptian
63,"""اه اعرف عادي مش صعب بس ميكونش بالمنظر ده""",Egyptian
64,"""ده انا هشويكم ذكريات يا جماعه لو ده حصل والله""",Egyptian
65,"""في فيديو للحادثه دي""",Egyptian
66,"""مهو بعد اصابه هازارد مش بعيد نلعب بكاسميرو وينج""",Egyptian
67,"""ازاي لازم يحشر""",Egyptian
68,"""مش اسوا اوي يعني لولاها مكناش اطلعنا علي الاداب المختلفه روسي لاتيني ياباني صيني هندي ايراني""",Egyptian
69,"""خليها فولو دلوقتي وخلي الناس تتفرج وتنبسط""",Egyptian
70,"""بمنتهي السذاجه لو الشخص التاني اتكلم معايا عادي بعدها بنسي وبحس ان كنت شخص وحش ان فهمت غلط وان كل الموضوع كان تلقاء""",Egyptian
71,"""متسمعونا دعوه حلوه علشان رايح اجيب نتيجتي بكرا""",Egyptian
72,"""اللي يلاقي الذين اقسموا بالبقاء يبلغنا بس عشان بننام بدري وورانا شغل""",Egyptian
73,"""اسمعله بس اغنيتين رايقيين كده وتعالي قولي ايه الاخبار""",Egyptian
74,"""دا بجد قال كده""",Egyptian
75,"""مبحبش حد يختبرني ويشوف انا هسال عليه ولا لا عشان انا طول عمري واطيه والله""",Egyptian
76,"""عديت الاوقات و عمري انا ضاع علي الفاضي جوا مني جراح و مش مرتاح و مش راضي""",Egyptian
77,"""دي حقيقه فعلا""",Egyptian
78,"""انا مش فاهم لازمه النقطه""",Egyptian
79,"""مش لازم نتنمر عالناس و احنا مش عارفين هما قبلين دا ولا لا""",Egyptian
80,"""بتفهمي والله اعتقد فعلا دا اللي هيحصل بس الحمد لله عالاقل الدوله استجابت للناس شء يشكروا عليه جدا""",Egyptian
81,"""افهم التويته مهو عشان مفيش نسوان بتقلب بقاعده غرقانه""",Egyptian
82,"""ده لو حد باصصلي في الاجازه كان حالي هيبقي احسن من كده يا الله يا ولي الصابرين""",Egyptian
83,"""اكتر صفه بتحبها في البنت اللي قدامك اكتر صفه بتكرهها في البنت اللي قدامك اكتر حاجه بتخيلها و تحلم بيها عايز تبق""",Egyptian
84,"""ما ديالمصيبه ان الاذواق دي بتوديهم في داهيه و ييجي الجود بوي يلاقيها اتعقدت""",Egyptian
85,"""يارب دليل اننا ماشيين صح ان السكه نهايتها جبر ان التعب مش هيروح هدر ان الحق هيرجع وهيتشاف علي حياه العين ان""",Egyptian
86,"""مش بتحس بنت الكلب""",Egyptian
87,"""مش لما تتنيوا وتخطبوا الاول""",Egyptian
88,"""مينفعش تبقي مبسوط وانت حران مفيش حد حران بيتبسط""",Egyptian
89,"""قريت التويته مليت يا بقا و التكييف بايظ ف الحر ده""",Egyptian
90,"""ده حلم جميل يارب يتحقق""",Egyptian
91,"""ناضجه اوي""",Egyptian
92,"""طنط مامت سمر بتشتمني وتهزقني وكل ما تشوفني تمسح ب كرامتي الارض وعلي عكس طبيعتي بحب الهتزيق البتهزقهولي فشخ واروح وا""",Egyptian
93,"""لا ايه بس ده انا اللي انك موجوده معانا عالتايم""",Egyptian
94,"""الفتره دي اكتر فتره حسيت ان فعلا ربنا عمره ما بيبعد عينه علينا و انه دايما جنبنا و دايما يبعتلنا ناس تبقي جنبنا وتهون عليا الدنيا كلها""",Egyptian
95,"""هو الصوت مش مظبوط ولا دا عندي انا عشان في اصوات غريبه كدا وانا خوفت""",Egyptian
96,"""قال بتحبه وبتحب مادته ده كان كافر ميعرفش ربنا""",Egyptian
97,"""نفسي اعرف بجد""",Egyptian
98,"""ده ايه التخلف ده هو الطلاق بقا عيب دلوقتي وحاجه تكسف ده ايه الاشكال الضاله دي فكك يا بنتي واللي""",Egyptian
99,"""العيله دي صوتها الله اكبر عليها بجد بالنسبه للصوت والاداء بسم الله ماشاء الله بجد حاجه كده تستاهل قلوب كتيير وتش""",Egyptian
100,"""انا لما بحب بجد ببذل مجهود عشان اعرف اسعدكم وافرحكم بجد ابان قدام نفسي ان انا مش مقصر معاكوا ومظلمش حد""",Egyptian
101,"""اخويا اما يجي ينزل استوري عنده واتس بيعمله ليا بس يراضيني ويعمل هايد لكل ال عنده عشان محدش من اصحابه يشوف صورتي وا""",Egyptian
102,"""وتيجي ف الدراسه تقول مش فاضي اخرج انت عيان""",Egyptian
103,"""لا انا ثانويه عامه اه بس سنتين بقي ث و ث""",Egyptian
104,"""اسمي مكتوب لازم يعني تفكرني بالبتاعي امبارح عماله اشرب سفن اب عشان انسي""",Egyptian
105,"""تعالي نجيب انا عايزه اجيب سكتش علشان الي عندي خلص""",Egyptian
106,"""ولو ان الواحد متعودتش علي ده خالص وشخصيته مبتحبش الانفراد والوحده بس يلا ومش لازم يوم نخليها سفريه لاي مكان ونجرب""",Egyptian
107,"""كلنا جذابين جدا ونتحب ومرغوب فينا اكيد مش من كل الناس لكن من نوع منهم متوافق معانا بس هل بعد كل الانبهار بتاع""",Egyptian
108,"""يا وزير التعليم ف مصر مش هيتعدل غير لما تكليف تربيه يرجع كل واحد ليه مهنته اللي اتعلمها ف الكليه وطلع عينه فيها""",Egyptian
109,"""علي لمعان حد تاني لما تعرفوا اللي مرينا بيه وظروفنا ومشاكلنا اللي محدش يعرفها لما تعرفوا مخاوفنا وخصوصياتنا ا""",Egyptian
110,"""انا كرهت كل حاجه في ام البلد دي""",Egyptian
111,"""عارفه انت كنت قايلي عشان كدا مستوعبتش الكلام في الاول""",Egyptian
112,"""هو انا الوحيده يارب ال مش عاوزه صاحبتي تتجوز""",Egyptian
113,"""لما تعمل حاجه وتحس انها انجاز ويجي حد يقلل من الي انت عملته وهو عارف ان ده بيضيقك اعرف علي طول ان ده عنده نقص وغير""",Egyptian
114,"""الناس بتروح و تيجي اهم حاجه الفلوس""",Egyptian
115,"""ايه ده كله ايه ده كله""",Egyptian
116,"""اهه فيهه ولا ده ولا ده""",Egyptian
117,"""ماتشات برشلونه في السان ماميس دي بتبقي غريبه فشخ طبيعه الفرص اللي بتيجي لبيلباو كلها انفرادات صريحه ومباشره واللاع""",Egyptian
118,"""مقلتش انتقام احنا منقدرش نحاسب حد احنا مش ربنا احنا بشر زينا زيهم بس ربنا مدي لناس علم عشان الناس ال""",Egyptian
119,"""دعونا نتخيل ان فلفل النهرده يبدا بروبيرتو وراكتيتش ورافينيا بدل دي يونج وجريزمان علشان لسه مخدوش حساسيه المتشات مع""",Egyptian
120,"""بجد اصل كنت همسح الاصليه وانزلها عشان معنديش مساحه للابديت الجديد بس خلاص بقي طلما ملهاش لازمه""",Egyptian
121,"""انا مابحضنش المخده دا انا بجيب كل مخدات السراير حبني عشان بكسل لما انقلب اقلبها ف الاقي التانيه جنبي""",Egyptian
122,"""ع فكره انا هبعتلك بسرعه مش قادر اتنفس""",Egyptian
123,"""انا فاكر اني كنت داخل ثانوي بقوه وهروح الدروس بعجله عشان ماخدش وقت وارجع اذاكر وكده وفاكر برضو اني بدات اعرف يعني ا""",Egyptian
124,"""هما اصلا مش عارفين الي فيها""",Egyptian
125,"""ليس من باب التشهير لان الواد الخول ده هو اللي بينشر فيديوهاته وسالته هو والكلب مراته ع ا""",Egyptian
126,"""جماعه انتو بتلاقو بعضكو في بابجي ازاي بنتفق نتقابل في بوشينكي تحت الشجره و اللي بيتاخر بنمشي و نسيبه""",Egyptian
127,"""لا انا بخاف احط عليه الكابتن من الاول كده""",Egyptian
128,"""ما بتلبسيش طقم مرتين ف الاسبوع وفرحانه اوي طب قولي ممابتلبسيهوش مرتين ف الشهر انا اللي فلاح برده مش بتشوفي البنات""",Egyptian
129,"""دا مثال اني خلاص مش طايقه الصيف لدرجه اني اتخلي عن الاجازه بس يعدي بقي""",Egyptian
130,"""يبني ازاي مش عملي وشفوي وفاينال وخلاص""",Egyptian
131,"""هو دا راي حضرتك ال انتي بتقوليه وبحترمه جدا عشان تثيري الجدل وانا من راءيي الشخصي كسم الحيوان المنوي""",Egyptian
132,"""فكره وجود شخص مش شايف حاجه اهم منك دي لوحدها مبهجه جدا""",Egyptian
133,"""نقص بعيد عنك""",Egyptian
134,"""محتاج اقعد فتره معملش حاجه في حياتي غير اني اصالح كل صحابي اللي مضايقين مني و ليهم حق""",Egyptian
135,"""ان الشعور بالالم يجعلك تشعر بانك مازلت حيا""",Egyptian
136,"""احنا نمشي كلنا بقي بكاميراتنا مفتوحه و نبقي كلنا كلنا ساعتها بس يمكن البلد دي تتغير""",Egyptian
137,"""ده الساحل مش اسكندريه و لا الريش و الكفته بتوع بلبع كابسين علي نفسك يا كابتن""",Egyptian
138,"""الاكل لا كده احا بالجامد""",Egyptian
139,"""ممكن تبطل تعرف ناس من محافظات ودول تانيه وتتعلق بيهم ده لو مش هيضايق روح الرحاله بتاعتك طبعا""",Egyptian
140,"""التفكير في هلبس ايه وانا نازله ده بيزهقني جدا وممكن يخليني احلف ما انا نازله اصلا""",Egyptian
141,"""اتفق والله جدا علشان كده معدتش هعمل حاجه علشان حد سواء قريب او غريب""",Egyptian
142,"""لا وتتفرجي ليه اصلا خلاص شجعي باليه ماءي""",Egyptian
143,"""مش يمكن الي انت فاكرها نهايه دي تبقي بدايه لحياه جديده وحكايه اجمل""",Egyptian
144,"""حوار اني كل يوم مخلصه لتر بيبسي ده لو ماما عرفته مش هتديني فلوس تاني""",Egyptian
145,"""مش متشافين""",Egyptian
146,"""الفتره دي شيرين اوقات يا دنيا صابر عاللي بيجرالي""",Egyptian
147,"""ونبي ڤار اسبانيا ده لو حكامه قعدوا في الكيمبانسكي ولا فاهمين حاجه""",Egyptian
148,"""ايه الجمال ده بس""",Egyptian
149,"""ده قبل ساعات من المااتش بعد ما فطرنا علي طول قبل ما الالتراس ييجي الكراسي الفاضيه دي لما الماتش بدا مكنش في و""",Egyptian
150,"""اخويا الغالي اوي واللهوالله م في اطيب منك""",Egyptian
151,"""الفيل الازرق حقيقي ابداع حاجه كده وهم كنت متاكده اني مش هندم ابدا لو دخلتو شابوه""",Egyptian
152,"""صفقه فان دي بيك منفصل عن بوجبا ده مركز وده مركز والريال كان هيجيب الاتنين لو خرج خاميس وايسكو مع بعض""",Egyptian
153,"""متنساش التويته دي بالله عليكم""",Egyptian
154,"""حقيقي""",Egyptian
155,"""اول مره انام نوم عميق كده لدرجه اني خدت شويه عشان اقدر اقاوم و اقوم""",Egyptian
156,"""بستعجب من بجاحه صاحب مطعم عروس دمش في الاسكندريه اللي طلب من امنا تجبله راجل مع ان سوريا الغاليه طلبت راجل ملقت""",Egyptian
157,"""وعيد ميلادك كان حلو والناس دي بنت البطه السوده""",Egyptian
158,"""كل فتره بيتاكدلي الجمله دي""",Egyptian
159,"""في صحاب مهما غابوا عننا بيبقوا عارفين ان غيابهم ده مغيرش في قلبنا ناحيتهم حاجه ولا غير طبعنا معاهم وانهم هما الاص""",Egyptian
160,"""للاسف انت معرفتش تدافع عني عشان خوفت تتبلك ع تويتر زي الفيس وبلاش اشرح اكتر من كدا""",Egyptian
161,"""في ثلاثات كتيره اوي في الحوار ده""",Egyptian
162,"""دا مرتضي منصور اللي عامل التويته دي تقريبا""",Egyptian
163,"""القاضي ده جميل و مشهور بمواقفه الانسانيه""",Egyptian
164,"""تاني وتالت وكل شويه وكل مره واقروها واسمعوها كلكم""",Egyptian
165,"""عاوز ايد مين الانون هيوديني ف داهيه""",Egyptian
166,"""لحد اللحظه دي والله""",Egyptian
167,"""ليس من باب التشهير لان الواد الخول ده هو اللي بينشر فيديوهاته هو والكلب مراته ع اليوتيوب""",Egyptian
168,"""هو مفيش اخبار عن قايمه الماتش هو طارق يحيي هيفتكر نفسه مدرب بجد ولا ايه""",Egyptian
169,"""انا شفت الغلاف ده من يومين وكنت ناويه انزل تويته اقول من يحبك سيقرا لك حتي لو لم تضع النقاط من يحبك سيقرا لك وان""",Egyptian
170,"""انا مش متاقلم انا صابر""",Egyptian
171,"""نتفلكس بانوع عشان الملل و اكيد حضراتكوا فاهمين الموضوع ده كويس""",Egyptian
172,"""انا تقريبا بنام ساعه ف ساعه لدرجه مش لاقيه وقت لحاجه تانيه اعملها""",Egyptian
173,"""جماعه انا لسه متفاجء اني طالع التالت علي الدفعه المهم رايح اقول لامي وانا فرحان ومنشكح كدا ماما نعم انا طلعت""",Egyptian
174,"""مش هنا وبس يا مزه والله""",Egyptian
175,"""عايز اقول مفيش اي مبرر خالص للي حصل ولازم محاسبه طبعا ودا مش هيحصل غالبا لكن سمعت ان معظم مرضي الايدز بيكون عند""",Egyptian
176,"""الصوره دي فكرتني ب جون سنو لما كان راح ياخد ريكون من رمزي سنو وكسب المعركه في الاخر""",Egyptian
177,"""عجبني اوي الجاكيت اللي ف البروفايل ممكن اعرف منين حبيبتي شكرا بس دا اونلاين مش من محل معين""",Egyptian
178,"""علفكرا انت ذوق جدا واسلوبك حلو حتي لو بتعبر عن حاجه مش عجبتك""",Egyptian
179,"""لسه الموسم مبداش يا عبدو مش عارف كل التكهنات دي علي البريسيزون باي اماره من بكره لازم هيكون في شكل مختلف لكل شء""",Egyptian
180,"""محتاج مصباح علاء الدين اوي ممكن اخده منه سلف يومين تلاته كده احقق كل اللي نفسي في و ارجعه ليه تاني و لا هاحتاج""",Egyptian
181,"""دي اطول مره وقعت فيها ف حياتي ومعنديش حيل اقف علي رجلي تاني خلاص يا ربنا يحلها م عنده يا افضل عايش فالجحيم الي نفسي والدنيا معيشني فيه""",Egyptian
182,"""ياخويا بشوف اجازه ايه دي عشان ناخد زيها""",Egyptian
183,"""ان شاء الله كل يومين هعرض اخر حاجه فيها صلواتك ريمون""",Egyptian
184,"""الدنيا دي كلها مينفعش تشيلتي انا و هو علي ارض واحده حرفيا فا يارب يا تاخدني يا تقطع علاقتي بيه نهاءي و متخليش اي ح""",Egyptian
185,"""في حاجه غلط""",Egyptian
186,"""متيدوش لحد اكتر من قيمته ياجماعه علشان هيشوف نفسه عليك""",Egyptian
187,"""انتي مش جدعه علفكره""",Egyptian
188,"""انا ما زلت مقتنع ان بوغبا جاي""",Egyptian
189,"""يعني انت عايز تتهان دلوقتي يا خول ولا عايز ايه بالظبط""",Egyptian
190,"""انت بتقول رايك ليه مش كنا نهينا الموضوع ده""",Egyptian
191,"""لا والله انا فعلا فضلت اشبهه موت بس الاسم راح من بالي خالص وطبعا اشهر من نار ع علم""",Egyptian
192,"""الناس دي خنازير""",Egyptian
193,"""ي بنت الجمده اي دا""",Egyptian
194,"""مش عيب تبقي متر قد الدنيا وتكتب عمله غلط""",Egyptian
195,"""كفايه حرق يا نجم بقيت عامل زي النسوان اللي بتعدد في الخارجه احترم عقول الناس وثقافتهم السكه اللي انت ماشي""",Egyptian
196,"""يعم خلاص والله متزعلش مني معنتش هعمل فيك كده وهخليك تكسبني""",Egyptian
197,"""انت مش فاهم الترند ماشي ازاي ظظ""",Egyptian
198,"""الي راح مبيرجعش""",Egyptian
199,"""انا حبيت نادره يا اصداف عشان مش ب ايدي ربنا هو صاحب الامر علي القلوب ربنا امر قلبي بمحبتها ومامرش قلبها غير بي""",Egyptian
200,"""فين مدرسه السويس الاعداديه القديمه بنات يجماعه عشان المفروض همتحن فيها بكره""",Egyptian
201,"""متزعليش بقا بهزر والله حصل خير""",Egyptian
202,"""لا هي ارزاق وعادله علي فكره في ناس رزقها مال او تقدير او سلطه وناس رزقها صحه اولاد وستر فا الحمد لله علي كل حاجه ي""",Egyptian
203,"""الله ع جرعه التفاءل ديه""",Egyptian
204,"""الاجازه دي خلتني امر امر يعني""",Egyptian
205,"""ايه الفكره الجامده دي لا نستدعيه بشنبه ده""",Egyptian
206,"""اكونت تويتر ده انا عملته علشان شخص معينبس بعد مادخلت وشوفت البروفايل بتاعه قولت يارتني مادخلت للعالم ده ف ناس عم""",Egyptian
207,"""وعيد ميلادك كان حلو والناس دي بنت البطه السوده""",Egyptian
208,"""مش عارفه من غير اجابتك العظيمه دي كنت هعيش ازاي يا اخويا عظمه""",Egyptian
209,"""البوم بستناك لم يفقد من جماله رغم انه عدي عليه اكتر من سنه وكل اغنيه يا اخي احلي من التانيه وبيتهيالي الف""",Egyptian
210,"""طب اظبط الروج طيب""",Egyptian
211,"""طب اطلبي حاجه تانيه ينفع علي السوشيل""",Egyptian
212,"""بحس براحه نفسيه واني فعلا مكتءبه مش هزار""",Egyptian
213,"""دي امك يا ادمن اللي اكثر تتويجا""",Egyptian
214,"""محمد منير ده مش مغني ده قلبي اقسم بالله""",Egyptian
215,"""ال مشكله مش عندك انتي بس""",Egyptian
216,"""اجي اجبلك الاغاني بتاعتك اللي بتسمعيها عامله ازاي ولا تامر عاشور يفكرك""",Egyptian
217,"""تتشك في لسانك مين دي اللي باد""",Egyptian
218,"""نعم ازاي بعني""",Egyptian
219,"""لما باجي ادي لحد ف شغلي حقنه عليا بيبقي اعد يقولي ونبي براحه وببقي متعاطفه جدا مع انها حقنه الا حقنه طويل المفعول ا""",Egyptian
220,"""بعتالي اغاني مسخره مش لايقه مع بءسها""",Egyptian
221,"""هو احنا بنعمل كدا ليه عشانك وعشان مصلحتك وكلام مش بيعور بس يارب تتعلم""",Egyptian
222,"""الدنيا دي كلها مينفعش تشيلتي انا و هو علي ارض واحده حرفيا فا يارب يا تاخدني يا تقطع علاقتي بيه نهاءي و متخليش اي ح""",Egyptian
223,"""هرجعله تاني انا عايز اوصل دلوقتي""",Egyptian
224,"""مفيش اوسع من خيال البنت وهي غيرانه""",Egyptian
225,"""لما تلاقي حيوان مشرد بيعمل لك كده هو بيدور علي اي لقمه يسد بيها جوعه بس مش بيعرف يتكلم اعطف عليهم لعلها المنجيه""",Egyptian
226,"""ا انت تروح المطبخ ولا اقولك انت تمسح السلم""",Egyptian
227,"""عايزه اموتك بس برصاصه تكون غاليه يااه يا انون مش بستهسر فيا الغالي حتي وانت بتموتني قد ايه انت انون جميل""",Egyptian
228,"""وحقيقي انا لو رديت عليك مش هحلك""",Egyptian
229,"""عاشت الفاشيه الشعبيه والله""",Egyptian
230,"""جمعيه معا ضد البن المحوج ونعم لفيروز اناناس زادت واحد""",Egyptian
231,"""لو عندي ولاد خاله مش هيتكلمو كدا""",Egyptian
232,"""ش مسمعش صوتك تاني""",Egyptian
233,"""البنات اللي بتنصح بعض انهم يبقوا وحشين مع الرجاله المرتبطين بيهم دول مشافوش ريحه التربيه والبنت اللي تسمع كلام صاح""",Egyptian
234,"""كدا مش هتلاقي حد""",Egyptian
235,"""ايه يا جريبتي بس انتي مش قريبتي و محدش فاهم حاجه خالص""",Egyptian
236,"""فيجو الدخلاووي""",Egyptian
237,"""مفيش امكانيه نعيد العيد تاني من اول وجديد مش عايز ارجع الشغل""",Egyptian
238,"""ازاي الطرحه مش حجاب""",Egyptian
239,"""عشان مكسيكي""",Egyptian
240,"""التاني ده بيودي في داهيه حضرتك""",Egyptian
241,"""هنستمتع انهارده عشان بكره هنتفشخ ودي كلمه قليله""",Egyptian
242,"""خلينا ساكتين و الرد هيجي ف وقته و كل حاجه هتيجي ف وقتها""",Egyptian
243,"""الناس اللي ميت غمر لو سمحتوا انا عايز غمر لمصر وسيبوا واحد ليكوا""",Egyptian
244,"""يابني فيه لدهب دلوقتي""",Egyptian
245,"""قالت مش مقاليش بحبك بس قال كل حاجه شبهها""",Egyptian
246,"""و نعم الام عمري مشوفتش كميه معسل كده ف الحجر""",Egyptian
247,"""انا بقيت اعمل كدا تجنبا لاني ادخل ف مناقشه او حوار مع اي حد او مع ناس عارفه اني ردي عليهم مش ع هوا""",Egyptian
248,"""الحمدلله مش محسبوب ع دفعتكم""",Egyptian
249,"""بتقلعيني كل حاجه عشان ممشيش""",Egyptian
250,"""بس انتم تستاهلوا انتم لو مش تستاهلوا مش هنكد عليكم""",Egyptian
251,"""عقابنا نتساب كده لحد ما ننقرض""",Egyptian
252,"""انا بحب مامتك اوي""",Egyptian
253,"""نفسي يكون عندي قوه سحريه اداوي بيها الناس الي بحبهم و افرحهم دايما وافاجءهم بكل حاجه بيحبوها واشوف ضحكتهم ماليه الد""",Egyptian
254,"""فراغه عين حضرتك""",Egyptian
255,"""مش معني اني هو كده قليل يعبده عشان هو مصاحب جورجينا ومفيش حد يصاحب جورجينا قليل بعد اذنك""",Egyptian
256,"""في فرصه هتجيلك مره واحده بس في حياتك ومش هتيجي تاني ابدا لو جاتلك حافظ عليها اتمسك بيها اعمل المستحيل علشان تفضل""",Egyptian
257,"""يبني انت مش بتفهم في حاجه وهفضل مقتنع بكدا لحد ما اموت""",Egyptian
258,"""كانت تايهه عني فين دي""",Egyptian
259,"""حضرتك صاحب محل تحف وانتيكات""",Egyptian
260,"""مش عارف انا عيال معندهاش دم يا ابو عمرو مبنشوفش وشها ومتعرفش عننا حاجه وتدخل ف الكلام كدا مش عارف جايبين البجاحه دي منين""",Egyptian
261,"""مش لما نعديي من السنه دي""",Egyptian
262,"""يلا ياض غور من هنا مش ناقصين قرف""",Egyptian
263,"""بس في امور تتاخد ب الهداوه مش نحكم عليها ع طول يمكن مش قصدها تكدب او كانت خايفه من انك تعرفي المو""",Egyptian
264,"""ردي علي رحمه الاول بدل الاهانه دي""",Egyptian
265,"""هو ليه انا لما بشوف احمد فتحي بحس انه اسد كده في ضهر اللاعيبه وان شاء الله نكسب بكرا""",Egyptian
266,"""دي مش اخلاق يادكتوره ايه""",Egyptian
